1,0x0000000000000000000000000000000000001004,BSC: Token Hub,154,035,376.66617236 BNB,--,2,809,266
2,0xbb4cdb9cbd36b01bd1cbaebf2de08d9173bc095c,Binance: WBNB Token,5,649,080.41329465 BNB,25.25159298%,2,657,640
3,0x161ba15a5f335c9f06bb5bbb0a9ce14076fbb645,Binance: Hot Wallet 11,4,733,741.98445981 BNB,21.15999722%,1,321,054
4,0xf68a4b64162906eff0ff6ae34e2bb1cd42fef62d,,3,001,007.49935898 BNB,13.41461164%,1,094
5,0xde8fd2311cf86ae7939d75628ca1993aab47dc58,,312,813.99971448 BNB,1.39828985%,5
6,0x3507e4978e0eb83315d20df86ca0b976c0e40ccb,,185,525.00442516 BNB,0.82930345%,443
7,0x000000000000000000000000000000000000dead,Burn Address,132,633.7482859 BNB,0.59287763%,2,063
8,0x7c51ded61930fb26eb257db7eb04e0bdff4820f5,,115,021.8303061 BNB,0.51415173%,23,786
9,0xdccf3b77da55107280bd850ea519df3705d1a75a,Binance: Hot Wallet 9,109,007.41840172 BNB,0.48726709%,1,374,515
10,0xab87c2f5fe40c7ea8b6f1a68c09f8e869b72cb54,,97,760.85784087 BNB,0.43699456%,59
11,0x8894e0a0c962cb723c1976a4421c95949be2d4e3,Binance: Hot Wallet 6,95,777.29803933 BNB,0.42812797%,4,054,195
12,0xe2fc31f816a9b94326492132018c3aecc4a93ae1,Binance: Hot Wallet 7,86,085.25479555 BNB,0.38480419%,3,226,327
13,0xc86ba44ad1ab1d2329833a8e186b568e87295619,,80,508.93978145 BNB,0.35987786%,49
14,0xa180fe01b906a1be37be6c534a3300785b20d947,Binance: Hot Wallet 16,76,981.91066464 BNB,0.34411191%,551,587
15,0xbd612a3f30dca67bf60a39fd0d35e39b7ab80774,Binance: Hot Wallet 13,74,187.2313522 BNB,0.33161960%,1,399,205
16,0x3c783c21a0383057d128bae431894a5c19f9cf06,Binance: Hot Wallet 8,64,856.42448149 BNB,0.28991055%,1,329,371
17,0x515b72ed8a97f42c568d6a143232775018f133c8,Binance: Hot Wallet 12,63,774.31315798 BNB,0.28507348%,1,348,265
18,0x468c0cfae487a9de23e20d0b29a2835dc058cdf7,,62,804.5967419 BNB,0.28073881%,89
19,0xeb2d2f1b8c558a40207669291fda468e50c8a0bb,Binance: Hot Wallet 10,55,863.40148084 BNB,0.24971142%,1,389,150
20,0x21a607281b5d647d476e08b3c056c405ab27db88,,51,805.00596881 BNB,0.23157024%,30
21,0xcac8f5daa96c11e52ef099ab145264e45e86a8a1,,50,143.6191 BNB,0.22414378%,105
22,0xfd6042df3d74ce9959922fec559d7995f3933c55,Fake_Phishing7,48,510.94198842 BNB,0.21684566%,34
23,0x927e0e0b0cb516e663b07815db4c45400b4a6538,,44,933.006395 BNB,0.20085216%,5
24,0x9eb43683e2a76184555bed134b422c1321190c87,,44,500.006395 BNB,0.19891663%,5
25,0xaaa003d2124abf10a39a8a0f39755e7f0b73b88f,,44,500.006395 BNB,0.19891663%,3
26,0x576bd247b07fb8a59b69c5f58fd1166bbca8f7fb,,44,500.006395 BNB,0.19891663%,12
27,0x3d9388892c72a27db307aa8f4512c1057de88434,,44,500.00628936 BNB,0.19891663%,31
28,0xb3f923eabaf178fc1bd8e13902fc5c61d3ddef5b,,44,491.00366874 BNB,0.19887639%,5,793
29,0xa2221e790dd641d783a0303a4f642193497982f2,,42,760.58815036 BNB,0.19114137%,541
30,0x2117b881c902591dcaea33610e77308c3e9183e9,,41,700.00629 BNB,0.18640053%,12
31,0x41772edd47d9ddf9ef848cdb34fe76143908c7ad,FTX Exchange,39,190.38966679 BNB,0.17518245%,231,760
32,0x5341924719f039c8141703709779146ea361e082,,38,699.00618361 BNB,0.17298595%,140
33,0x218217fc5a46c82b42ce6711db92402e83ea5f9f,,38,000.00629 BNB,0.16986140%,6
34,0x46b513dd578d7bbc1d86c45c9a6cc687c942704b,,37,849.32039493 BNB,0.16918783%,62
35,0x3229149012a035ef51d724e0343eb31ce3e4bb7d,,37,737.81482884 BNB,0.16868939%,1,425
36,0xbe1b5d17777565d67a5d2793f879abf59ae5d351,,36,421.43549577 BNB,0.16280513%,12
37,0x2179405ed1ea47c8bce7adb9e592f0578d305899,,36,200.00629 BNB,0.16181533%,10
38,0xe5d855a7a7ea599b187f8d1e283d2dd06f59903e,,35,250.00607779 BNB,0.15756880%,378
39,0x1c4d9bcf1385dfc133adc064597da55b5542bb6d,,34,000.006395 BNB,0.15198125%,7
40,0x8c87005cc66855973c59dabcd14121f5ae314c89,,33,649.506395 BNB,0.15041451%,363
41,0x1c6f747b4eb41f7de483d735471ff120e460b119,,33,189.006395 BNB,0.14835605%,7
42,0x237d27c2fe02e6775a628f38ab14da2a12ca1e16,,32,990.00608 BNB,0.14746652%,3
43,0xc273ff772b5f77c1b6008545a8dccab01b764dd0,,32,457.00508496 BNB,0.14508398%,543
44,0x1b96f621b06e796ff2227bf62f5c756384caa585,,32,000.006395 BNB,0.14304118%,6
45,0x1b663156a51f174ef813fbdfb40eb470464c4169,,32,000.006395 BNB,0.14304118%,8
46,0xa4d1fb4e0d42616f0286ed47b21b1622d446c445,,31,831.41246263 BNB,0.14228756%,803
47,0x1bc168e5feabf7d90c57871c23def0a1a831bf44,,31,000.006395 BNB,0.13857115%,10
48,0x4bee70822f11af9ef66806caaaa72e7df99db4c2,,29,787.14947843 BNB,0.13314963%,431
49,0x26a31e62885fc48dc6c74058217df493c96b8fb7,,29,325.006395 BNB,0.13108384%,20
50,0xa39eeb310d8f75f814f33335c5994e05e2a43300,,28,999.98304797 BNB,0.12963097%,2,215
51,0x20f197797455e4cd75abe265dc62df3650d2e221,,28,000.00629 BNB,0.12516104%,11
52,0x20f6aade32fbdb9afe37be415e0dcc8d2c636da2,,27,686.00608 BNB,0.12375744%,4
53,0x6093a0b32c9fb18f61198a5fe869d3ef9549f61a,,27,592.59011 BNB,0.12333987%,34
54,0x269da78999ce4ce5d20ea8d0cae0f46e2763a68d,,25,530.99979 BNB,0.11412449%,10
55,0x9e647c2c10323f5d8c22d19b554ed9cbc5638e18,,25,003.999895 BNB,0.11176878%,7
56,0x2261e812d812e911c3493b311ac6c0b3cf6ed286,,25,000.00608 BNB,0.11175093%,3
57,0x21a6c6cb452e5dc5e3ec53df0ac0c84b0a2c66dd,,25,000.00608 BNB,0.11175093%,3
58,0xcfa71e282d14591421c277465106683bcf338497,,24,926.597095 BNB,0.11142279%,24
59,0x4beb14237a0b350e76a6a5fbf8260f03ce7948d7,,24,269.006395 BNB,0.10848333%,8
60,0xc8a22e6f18d4866867aeca49bd214c6f8a720d19,,24,110.40628936 BNB,0.10777438%,15
61,0x93b741484732fcbea29dfdee70d37c6fbb138aa7,,24,092.006395 BNB,0.10769214%,167
62,0xdafaf32353b7f1dde63861b2c9b638638d674cfa,,23,440.35144982 BNB,0.10477922%,29,451
63,0xf5afa5d69617b871e53a21d6acf6b95b6d05fd0f,,22,200.0060542 BNB,0.09923483%,19
64,0x4b3b4120d4d7975455d8c2894228789c91a247f8,Anyswap: Bridge Fantom,22,057.8570125 BNB,0.09859942%,49,160
65,0x918a987218b77045e0b236fdb2bd4b518d325a10,,21,666.006395 BNB,0.09684783%,6
66,0xcf3a802c86fa143217582b29037235b018d4117a,,21,027.32264514 BNB,0.09399289%,17
67,0x225c5643a6b129b4819c7d101670228b72cc830e,,20,536.00608 BNB,0.09179669%,3
68,0xda07f1603a1c514b2f4362f3eae7224a9cdefaf9,,20,000.4360825 BNB,0.08940267%,194
69,0xcd82a64f8cc6e99c4f91fd6da8edba84e141acde,,20,000.006395 BNB,0.08940075%,8
70,0x1d00e763afb65ca4bb5f9f968a5a885bfcbe587b,,20,000.006395 BNB,0.08940075%,214
71,0xcc016d8b755ce1b76c200a92706188849be6ea42,,20,000.006395 BNB,0.08940075%,8
72,0x1fc2a3ac108eda8b6c2db555adc8f79a4bedf1c4,,20,000.00608 BNB,0.08940075%,3
73,0x571e9e70e6e7dcc7f862fde0fbbf4e61d521bb48,,20,000.00049706 BNB,0.08940072%,4
74,0xcb8f65f332b8b8dcf52577ea5f04d3191ab9d12a,,20,000 BNB,0.08940072%,1
75,0x7a1012fc175726cdca0076a822f9a847cf9dde9d,,20,000 BNB,0.08940072%,2
76,0xc3dedc9a65370da1481d26fc93889ebb5b3f21c1,,19,900 BNB,0.08895372%,3
77,0x875abe6f1e2aba07bed4a3234d8555a0d7656d12,,19,757.07611351 BNB,0.08831484%,9
78,0xee479ea3b3b0ed1ba2e935471b1d9a3b10618a23,,19,501 BNB,0.08717017%,1
79,0x3ee8550faed8427fa4e0e5850cab553aa9154b8b,,19,169.948349 BNB,0.08569036%,33
80,0xb1cb88b1a1992deb4189ea4f566b594c13392ada,AnySwap: Bridge Avalanche,17,999.53570797 BNB,0.08045857%,2,780
81,0x83a3c1fb2426ea7d5d9abfba89f172ddad12d049,,17,651.106395 BNB,0.07890108%,4
82,0xf82ebb106e09824f3eb24c07e1e31f16db8eb2d6,,17,332.66285452 BNB,0.07747763%,109
83,0xa78a6f3d391e272e7c0c40e8e5571558c6cf36c7,,16,224.99199186 BNB,0.07252630%,41
84,0xbb9194a8e22dfea89cf93532ba2354e443d09f2c,,16,001.01 BNB,0.07152509%,3
85,0x87b1acce6a1958e522233a737313c086551a5c76,,15,688.54790291 BNB,0.07012837%,112,517
86,0xf573ce9f5777782c801bf6de5139b122a4cdc436,,15,620.006395 BNB,0.06982199%,12
87,0xa49350850e490ded1ac8bd6c1a24bc5fea80b05a,,15,000.006395 BNB,0.06705057%,3
88,0xa78c77ed85d91aac7189dafe8ba45a5c875620f8,,15,000.006395 BNB,0.06705057%,5
89,0x89c527764f03bcb7dc469707b23b79c1d7beb780,Orbit: Bridge,14,800.57791904 BNB,0.06615912%,72,961
90,0xa37a1bce5338e427b2af929dd2549870339396c2,,14,594.00574301 BNB,0.06523573%,325
91,0x0cd6388f6768a4edf88d0e42aa42c87a5a43ae4e,,14,548.51262673 BNB,0.06503238%,2
92,0xf983719ca77ded7e2cb7a6040b8b4c31db5cdcbf,,14,432.62463156 BNB,0.06451435%,3
93,0x8b52725e5a1a8f42db8795cf11d5c5a3651f19e2,,14,368.00583896 BNB,0.06422550%,9
94,0x102f1fed4f0c996200ecc4ca9f4689557f6aad73,,14,041.006395 BNB,0.06276380%,7
95,0x707a9a8dc2dd583987a837de596c203164bcc6c7,,14,000.0058018 BNB,0.06258053%,73
96,0xb2659547e15915f897e7b304ba84792c53d3a7b4,,13,499.97410458 BNB,0.06034537%,27,622
97,0x05c3f700257103d367ddd986fe8bdfeeeb636a53,,13,190.67626675 BNB,0.05896280%,2
98,0xf0c95229c0bf5a8a7d0278433a5973c0928b2557,,13,181.60565327 BNB,0.05892225%,451
99,0x2c78b4b5e40f78f5bfa6fce0b277d2c59ccf8545,,13,067.71097192 BNB,0.05841314%,2,993
100,0x2ee711674c8ed50e0b5434ec6d9047939eb30c6e,,12,889.970443 BNB,0.05761863%,64
101,0x22820a1c5859c8a0c6d3af4289238bc8341aae4b,,12,775.00608 BNB,0.05710473%,4
102,0xdfc7127593c8af1a17146893f10e08528f4c2aa7,,12,520.38253646 BNB,0.05596655%,4,436
103,0x2423c7a8e1e18d21d513d68ad5658b5e389f888f,,12,466.006395 BNB,0.05572349%,8
104,0x40bd65746d4fad030f8fbcf82d72272fbefd51ad,,12,088 BNB,0.05403379%,29
105,0xa45da6760a44eb06f61266a261d68ad3cf1c98a5,,11,883.6581 BNB,0.05312037%,7
106,0x981dd3dc68b06019f9bb1c490429a88fccd886eb,,11,746.38415501 BNB,0.05250675%,27
107,0xcb62da0eeab7ce8899d25f1d6d2bda1536c4bb82,,11,641.4062893 BNB,0.05203750%,8
108,0x13bf6640b3ee96eb2d3c2e9fe191ca48e922602b,,11,500.006395 BNB,0.05140544%,4
109,0xa4190400594f0ba864d249e242feaa1678024f77,,11,500.00607764 BNB,0.05140544%,10
