1,0x00000000219ab540356cbb839cbe05303d7705fa,Eth2 Deposit Contract,7,825,474.000069 Ether,6.65298890%,156,655
49,0x90a9e09501b70570f9b11df2a6d4f047f8630d6d,,188,297.68427569 Ether,0.16008518%,54
50,0xbf3aeb96e164ae67e763d9e050ff124e7c3fdd28,,187,068.19559 Ether,0.15903990%,5
51,0xb8808f9e9b88497ec522304055cd537a0913f6a0,,185,852.59372197 Ether,0.15800643%,18
52,0x65b0bf8ee4947edd2a500d74e50a3d757dc79de0,Nexo: WBTC Merchant Deposit Address ,181,622.39438741 Ether,0.15441004%,1,747
53,0x36a85757645e8e8aec062a1dee289c7d615901ca,,177,328.30765968 Ether,0.15075934%,1
54,0xb29380ffc20696729b7ab8d093fa1e2ec14dfe2b,,175,175.05729446 Ether,0.14892871%,11,346
55,0xd69b0089d9ca950640f5dc9931a41a5965f00303,,174,000.0481664 Ether,0.14792975%,66
56,0xa7e4fecddc20d83f36971b67e13f1abc98dfcfa6,,172,038.06719675 Ether,0.14626173%,55
57,0x7da82c7ab4771ff031b66538d2fb9b0b047f6cf9,Golem: MultiSig,170,034.34311324 Ether,0.14455822%,458
58,0x5b5b69f4e0add2df5d2176d7dbd20b4897bc7ec4,,169,031.99351958 Ether,0.14370605%,18
59,0x0c23fc0ef06716d2f8ba19bc4bed56d045581f2d,,163,400 Ether,0.13891790%,11
60,0xcdbf58a9a9b54a2c43800c50c7192946de858321,,161,300.09703 Ether,0.13713262%,11
61,0x3ba25081d3935fcc6788e6220abcace39d58d95d,,157,738.10587866 Ether,0.13410432%,42
62,0x3dfd23a6c5e8bbcfc9581d2e864a68feb6a076d3,Aave: Lending Pool Core V1,151,965.85386426 Ether,0.12919692%,14
63,0xfd898a0f677e97a9031654fc79a27cb5e31da34a,,150,000.1 Ether,0.12752569%,5
64,0x4b4a011c420b91260a272afd91e54accdafdfc1d,,150,000.001 Ether,0.12752561%,5
65,0xa8dcc0373822b94d7f57326be24ca67bafcaad6b,,150,000.001 Ether,0.12752561%,5
66,0x367989c660881e1ca693730f7126fe0ffc0963fb,,150,000.001 Ether,0.12752561%,5
67,0x844ada2ed8ecd77a1a9c72912df0fcb8b8c495a7,,150,000 Ether,0.12752561%,6
68,0x9c2fc4fc75fa2d7eb5ba9147fa7430756654faa9,,150,000 Ether,0.12752561%,6
69,0xb20411c403687d1036e05c8a7310a0f218429503,,150,000 Ether,0.12752561%,4
70,0x9a1ed80ebc9936cee2d3db944ee6bd8d407e7f9f,,150,000 Ether,0.12752561%,37
71,0xb8cda067fabedd1bb6c11c626862d7255a2414fe,,150,000 Ether,0.12752561%,4
72,0xb9fa6e54025b4f0829d8e1b42e8b846914659632,,150,000 Ether,0.12752561%,4
73,0x701c484bfb40ac628afa487b6082f084b14af0bd,,150,000 Ether,0.12752561%,4
74,0xba18ded5e0d604a86428282964ae0bb249ceb9d0,,150,000 Ether,0.12752561%,4
75,0xfe01a216234f79cfc3bea7513e457c6a9e50250d,,150,000 Ether,0.12752561%,4
76,0x0c05ec4db907cfb91b2a1a29e7b86688b7568a6d,,150,000 Ether,0.12752561%,4
77,0xc4cf565a5d25ee2803c9b8e91fc3d7c62e79fe69,,150,000 Ether,0.12752561%,4
78,0xe04cf52e9fafa3d9bf14c407afff94165ef835f7,,150,000 Ether,0.12752561%,4
79,0x77afe94859163abf0b90725d69e904ea91446c7b,,150,000 Ether,0.12752561%,4
80,0x19d599012788b991ff542f31208bab21ea38403e,,150,000 Ether,0.12752561%,4
81,0xca582d9655a50e6512045740deb0de3a7ee5281f,,150,000 Ether,0.12752561%,4
82,0xd05e6bf1a00b5b4c9df909309f19e29af792422b,,150,000 Ether,0.12752561%,4
83,0x0f00294c6e4c30d9ffc0557fec6c586e6f8c3935,,150,000 Ether,0.12752561%,5
84,0xeb2b00042ce4522ce2d1aacee6f312d26c4eb9d6,,150,000 Ether,0.12752561%,4
85,0x7ae92148e79d60a0749fd6de374c8e81dfddf792,,150,000 Ether,0.12752561%,4
86,0x554f4476825293d4ad20e02b54aca13956acc40a,,150,000 Ether,0.12752561%,4
87,0x9cf36e93a8e2b1eaaa779d9965f46c90b820048c,,150,000 Ether,0.12752561%,4
88,0x4756eeebf378046f8dd3cb6fa908d93bfd45f139,,150,000 Ether,0.12752561%,4
89,0x091933ee1088cdf5daace8baec0997a4e93f0dd6,,150,000 Ether,0.12752561%,4
90,0xa0efb63be0db8fc11681a598bf351a42a6ff50e0,,150,000 Ether,0.12752561%,4
91,0x8b83b9c4683aa4ec897c569010f09c6d04608163,,150,000 Ether,0.12752561%,4
92,0x550cd530bc893fc6d2b4df6bea587f17142ab64e,,150,000 Ether,0.12752561%,4
93,0x828103b231b39fffce028562412b3c04a4640e64,,150,000 Ether,0.12752561%,5
94,0xe35b0ef92452c353dbb93775e0df97cedf873c72,,150,000 Ether,0.12752561%,4
95,0x0518f5bb058f6215a0ff5f4df54dae832d734e04,,150,000 Ether,0.12752561%,4
96,0x0e86733eab26cfcc04bb1752a62ec88e910b4cf5,,150,000 Ether,0.12752561%,4
97,0x0ff64c53d295533a37f913bb78be9e2adc78f5fe,,150,000 Ether,0.12752561%,5
98,0xb8b6fe7f357adeab950ac6c270ce340a46989ce1,,150,000 Ether,0.12752561%,4
99,0xeddf8eb4984cc27407a568cae1c78a1ddb0c2c1b,,150,000 Ether,0.12752561%,25
100,0x7145cfedcf479bede20c0a4ba1868c93507d5786,,150,000 Ether,0.12752561%,40
101,0x2fa9f9efc767650aace0422668444c3ff63e1f8d,,148,531.71231403 Ether,0.12627731%,13
102,0xd57479b8287666b44978255f1677e412d454d4f0,,147,699.4245034 Ether,0.12556972%,4
103,0xcafea35ce5a2fc4ced4464da4349f81a122fd12b,,146,497.35142757 Ether,0.12454776%,2,691
104,0xc6dcb7ac175636cbc3d5f32c68865c24ca7d74d4,,146,193.13594694 Ether,0.12428912%,1
105,0x4baf012726cb5ec7dda57bc2770798a38100c44d,,145,000.09839497 Ether,0.12327484%,7
106,0x0548f59fee79f8832c299e01dca5c76f034f558e,OTC: 0x054...58e,141,032.40833052 Ether,0.11990162%,5,600
107,0xb5ab08d153218c1a6a5318b14eeb92df0fb168d6,,135,283.676786 Ether,0.11501422%,280
108,0x3262f13a39efaca789ae58390441c9ed76bc658a,,131,656.039822 Ether,0.11193011%,10
109,0x0a869d79a7052c7f1b55a8ebabbea3420f0d1e13,Kraken 2,131,283.02866199 Ether,0.11161299%,12,216
110,0x78605df79524164911c144801f41e9811b7db73d,BitDAO: Treasury,130,515.53847312 Ether,0.11096049%,12
111,0x8d95842b0bca501446683be598e12f1c616770c1,,130,000 Ether,0.11052219%,47
112,0xa4a6a282a7fc7f939e01d62d884355d79f5046c1,,129,979.9924467 Ether,0.11050518%,11
113,0x35aeed3aa9657abf8b847038bb591b51e1e4c69f,,129,793.40309661 Ether,0.11034655%,62
114,0xb93d8596ac840816bd366dc0561e8140afd0d1cb,,128,576.12063659 Ether,0.10931165%,56
115,0x7fdd9c6be666561e088607bda6047feb283fb4a5,,128,131.972521 Ether,0.10893405%,7
116,0x6569a39c644256ee9b647c13f2cb6afd4b50a947,,128,062.13845688 Ether,0.10887468%,2
117,0xdcd0272462140d0a3ced6c4bf970c7641f08cd2c,,123,587.69025187 Ether,0.10507063%,10
118,0x27e9f4748a2eb776be193a1f7dec2bb6daafe9cf,,122,375.58126868 Ether,0.10404013%,354,824
119,0x595faf77e533a5cd30ab5859c9a0116de8bad8db,,120,000 Ether,0.10202049%,50
120,0x1bd3fc5ac794e7af8e834a8a4d25b08acd9266ce,,120,000 Ether,0.10202049%,53
121,0xd5268a476aadd1a6729df5b3e5e8f2c1004139af,,120,000 Ether,0.10202049%,55
122,0x7ead3a4361bd26a20deb89c9470be368ee9cb6f1,,120,000 Ether,0.10202049%,52
123,0xf481b7fab9f5d0e74f21ae595a749634fb053619,,119,858.42783694 Ether,0.10190012%,59
124,0xdb3c617cdd2fbf0bb4309c325f47678e37f096d9,,119,418.37357608 Ether,0.10152600%,51
125,0xd47b4a4c6207b1ee0eb1dd4e5c46a19b50fec00b,,119,060.19653535 Ether,0.10122149%,51
126,0x2faf487a4414fe77e2327f0bf4ae2a264a776ad2,FTX Exchange,117,827.03948358 Ether,0.10017310%,2,352,604
127,0xd65fb7d4cb595833e84c3c094bd4779bab0d4c62,,117,773.67531856 Ether,0.10012773%,47
128,0xa1a45e91164cdab8fa596809a9b24f8d4fdbe0f3,,117,516.69167459 Ether,0.09990925%,116
129,0x11577a8a5baf1e25b9a2d89f39670f447d75c3cd,Fund: 0x115...3cD,117,074.04278244 Ether,0.09953292%,139
130,0xa49d9b78ad1b389ee8d35adf4af065afc17f8c3b,,116,496.64358356 Ether,0.09904203%,27
131,0x4ce6b9b77a2e3341c4f94c751cd5c3b2424eb4b2,,115,204.16302308 Ether,0.09794321%,5
132,0x376c3e5547c68bc26240d8dcc6729fff665a4448,Iconomi: MultiSig 1,114,939.00001 Ether,0.09771777%,37
133,0x267be1c1d684f78cb4f6a176c4911b741e4ffdc0,Kraken 4,112,284.19339497 Ether,0.09546073%,2,141,298
134,0x2125f3189cd5d650d6142b222f20083efc2d05f2,,111,919.20974011 Ether,0.09515043%,9
135,0x1b8766d041567eed306940c587e21c06ab968663,,111,377.3141615 Ether,0.09468973%,3
136,0x3d4530082c3eb60f58af03f79b1ed3f40e591cd1,Golem: Foundation,110,398.79058 Ether,0.09385782%,84
137,0xd9858d573a26bca124282afa21ca4f4a06eff98a,,110,179.66948149 Ether,0.09367153%,1
138,0x1e2fcfd26d36183f1a5d90f0e6296915b02bcb40,Coinone 2,110,000.92294776 Ether,0.09351956%,31
139,0x47029dc4f3922706bf670d335c45550cff4f6a35,,108,361.63693365 Ether,0.09212589%,15
140,0x8ae880b5d35305da48b63ce3e52b22d17859f293,,107,708.2421783 Ether,0.09157039%,3
141,0x5a710a3cdf2af218740384c52a10852d8870626a,,107,141.16775261 Ether,0.09108828%,1
142,0xdb89045c811549f7eb925ec16f7d0cd7166556b3,,102,590.58304458 Ether,0.08721951%,4
143,0xbf4ed7b27f1d666546e30d74d50d173d20bca754,WithdrawDAO,102,527.18802285 Ether,0.08716561%,19,385
144,0x4eac9ce57af61a6fb1f61f0bf1d8586412be30bc,,102,002.99467199 Ether,0.08671996%,10
145,0x76ae5632ae65d95dd704218920f7d8ac4daef9cc,,101,388.61761361 Ether,0.08619763%,29
146,0x5657e633be5912c6bab132315609b51aadd01f95,,101,051.80639112 Ether,0.08591129%,7
147,0x67f706db3bbd04a250eed049386c5d09c4ee31f0,,100,784.24721512 Ether,0.08568381%,34
148,0x4fdd5eb2fb260149a3903859043e962ab89d8ed4,,100,116.86592345 Ether,0.08511643%,23
149,0x1fe29b608c1cab7b7354fc96c7bbb2a68355ced6,,100,000.973712 Ether,0.08501790%,5
150,0x40f50e8352d64af0ddda6ad6c94b5774884687c3,,100,000.00002 Ether,0.08501707%,3
151,0x2d89034424db22c9c555f14692a181b22b17e42c,,100,000.00001 Ether,0.08501707%,3
152,0x469f1ea76d13d4b4ea20a233eac8ce6ac74d5087,,100,000 Ether,0.08501707%,3
153,0x539c92186f7c6cc4cbf443f26ef84c595babbca1,,100,000 Ether,0.08501707%,1
154,0xbfbbfaccd1126a11b8f84c60b09859f80f3bd10f,,100,000 Ether,0.08501707%,1
155,0x868dab0b8e21ec0a48b726a1ccf25826c78c6d7f,,100,000 Ether,0.08501707%,1
156,0xc39cc669a548c661dfa6b5a1eeaa389d1ec53143,,99,999.00451 Ether,0.08501622%,5
157,0xc1bf8f2acc5d5824974ce4c90a8438421150f753,,99,489.1396769 Ether,0.08458275%,61
158,0x999e77c988c4c1451d3b1c104a6cca7813a9946e,,99,272.38308125 Ether,0.08439847%,45
159,0x2fd56159f4c8664a1de5c75e430338cfa58cd5b9,,98,697.96232116 Ether,0.08391012%,46
160,0x28140cb1ac771d4add91ee23788e50249c10263d,,97,634.063475 Ether,0.08300562%,1
161,0xc5424b857f758e906013f3555dad202e4bdb4567,,97,473.68437325 Ether,0.08286927%,10,037
162,0xcac725bef4f114f728cbcfd744a731c2a463c3fc,Huobi 34,96,723.65311611 Ether,0.08223162%,515,455
163,0x3c979fb790c86e361738ed17588c1e8b4c4cc49a,,96,158.52049709 Ether,0.08175116%,284,841
164,0x3bc643a841915a267ee067b580bd802a66001c1d,,95,515.56560063 Ether,0.08120454%,308
165,0xc56fefd1028b0534bfadcdb580d3519b5586246e,,95,263.26323519 Ether,0.08099004%,1
166,0x6262998ced04146fa42253a5c0af90ca02dfd2a3,Crypto.com,94,643.78448505 Ether,0.08046337%,465,482
167,0xd6216fc19db775df9774a6e33526131da7d19a2c,,93,189.83353426 Ether,0.07922727%,2,597
168,0x58c2cb4a6bee98c309215d0d2a38d7f8aa71211c,,93,182.38126801 Ether,0.07922093%,313,576
169,0x86a6a0080b1a4c9390416cf73ffb02738d94f8d6,,93,032.0962768 Ether,0.07909316%,4
170,0x0dbd8de20eed94a5693d57998827fcf68ed2ecf4,,92,500.11439622 Ether,0.07864089%,3
171,0xa7efae728d2936e78bda97dc267687568dd593f3,OKEx 3,92,387.03976599 Ether,0.07854476%,935,206
172,0x1b29dd8ff0eb3240238bf97cafd6edea05d5ba82,,91,851.42590191 Ether,0.07808939%,10
173,0x282edab8a933bc1c02649fe3ea2842ecbe9928a7,,89,506.11659497 Ether,0.07609548%,53
174,0xc9610be2843f1618edfedd0860dc43551c727061,,89,156.20293612 Ether,0.07579799%,341,958
175,0xcb9225bb407bc585ffbb863dc924aad07c97af2c,,88,900.01 Ether,0.07558018%,48
176,0x30a2ebf10f34c6c4874b0bdd5740690fd2f3b70c,,88,557.10429568 Ether,0.07528866%,3
177,0xe4f4866437513e7e023fb3933ba43045312b7459,,86,484.61667426 Ether,0.07352669%,8
178,0x1bb762b16438f8b287626fd1042bc6f6848cc286,,86,481.01573915 Ether,0.07352363%,1
179,0x73f8fc2e74302eb2efda125a326655acf0dc2d1b,Huobi 35,86,187.70125095 Ether,0.07327426%,357,644
180,0x25eaff5b179f209cf186b1cdcbfa463a69df4c45,Blockfolio,86,053.62264493 Ether,0.07316027%,72,435
181,0x0577a79cfc63bbc0df38833ff4c4a3bf2095b404,Huobi 27,85,968.58037855 Ether,0.07308797%,363,931
182,0x7e6ea81a68a2af50f64a37b3d6e50b1abb796da8,,85,679.02203825 Ether,0.07284179%,57
183,0x6586ce3d543e0c57b347f0c3b9eeed2f132c104f,,84,999.995411 Ether,0.07226451%,4
184,0x7f3a1e45f67e92c880e573b43379d71ee089db54,,84,993.77420403 Ether,0.07225922%,103
185,0x28ffe35688ffffd0659aee2e34778b0ae4e193ad,Huobi 33,84,718.91949838 Ether,0.07202554%,413,666
186,0x794d28ac31bcb136294761a556b68d2634094153,Huobi 29,83,898.53721038 Ether,0.07132808%,378,711
187,0xb3764761e297d6f121e79c32a65829cd1ddb4d32,Multisig Exploit Hacker,83,017.19172209 Ether,0.07057878%,36
188,0x72a53cdbbcc1b9efa39c834a540550e23463aacb,,81,902.59312544 Ether,0.06963119%,909
189,0xb46427e2cddecb0bde40bf402361effddd4401e2,,81,444.25824274 Ether,0.06924152%,3
190,0x37e3bc492735d3d84f2b126cffaf4f0a95bff049,,80,645.72167203 Ether,0.06856263%,4
191,0x1085b9c6e43895cc441ba1840b940ef786683785,,80,000.13895 Ether,0.06801377%,4
192,0x677f887fae0873bcf7e800f77bc7643063c7dece,,80,000.13895 Ether,0.06801377%,4
193,0x28973c01a23a002e8c40dc123858fd2122e50f87,,80,000.13895 Ether,0.06801377%,4
194,0x583197dccce7e295525acfa016eabe1b25becbc6,,80,000.13895 Ether,0.06801377%,4
195,0x46fde20dfde85c8c169e8823b6f615146674103e,,80,000.13895 Ether,0.06801377%,4
196,0x7d783603bd1caed3cdb8e734a50fb35df1f1da7a,,80,000.13895 Ether,0.06801377%,4
197,0x58c1655ee5c109bf69715411dc32338e40a54c46,,80,000.12895 Ether,0.06801377%,4
198,0x385dc986ac6dfaefe851ac95d3650e0baafef3ac,,80,000.12895 Ether,0.06801377%,4
199,0x67586e3526bbe9f3e19d76bb41f1de0a774b50b4,,80,000.12895 Ether,0.06801377%,4
200,0x79f67f689b9925710d4dda2a39d680e9cea61c81,,80,000 Ether,0.06801366%,42
201,0x6d9d2b30df394f17a5058aceb9a4d3446f1bc042,,79,832.05971527 Ether,0.06787088%,45
202,0xd2b0b1daed605718080f861034d3241f1cfd89cb,,79,122.43020715 Ether,0.06726757%,1
203,0x368d43c23843ca9b49dc861d80251bda6a090367,,78,428.41785759 Ether,0.06667754%,49
204,0x795cbc7a670d06e56cd2197d4ca175e081a416ad,,78,387.01602026 Ether,0.06664235%,7
205,0xfdfeb7474b6b104f32599948bb7f8ed81b06def3,,77,735.85085577 Ether,0.06608874%,2
206,0xcfee6efec3471874022e205f4894733c42cbbf64,,77,500 Ether,0.06588823%,10
207,0xbce4e85eb1a8e587db257a65da7703780db7bca4,,77,277.00297 Ether,0.06569864%,2
208,0xca55ee614ddb9f079a109d709a14b88097e3a2ba,,77,077.81271702 Ether,0.06552930%,358
209,0xca0a044400c1fa857e4cd0c95d86376b85659303,,76,423.75372876 Ether,0.06497324%,1,788
210,0x2268f45acb887e0a4e9c8714798fa7892629e91f,,75,759.83100133 Ether,0.06440879%,7
211,0x8033539e873b3f0deaba706dd6d3480e0dd5cb30,,75,311.97593314 Ether,0.06402804%,11
212,0x32d4703e5834f1b474b17dfdb0ac32cc22575145,,75,184.9686164 Ether,0.06392006%,7,707
213,0x3f7e77b627676763997344a1ad71acb765fc8ac5,,75,026.12978599 Ether,0.06378502%,8
214,0x500a746c9a44f68fe6aa86a92e7b3af4f322ae66,,74,483.85947242 Ether,0.06332400%,56,097
215,0xaf10cc6c50defff901b535691550d7af208939c5,,73,914.79648844 Ether,0.06284019%,181
216,0x4399f61795d3e50096e236a6d31ab24470c99fd5,,73,345.500984 Ether,0.06235620%,106
217,0x802ea31c421ec79e8190cb68b699af3e3bc625fe,,71,999.99475008 Ether,0.06121229%,3
218,0x4299f8147efad733bdd07844d1b03178334aa68b,,71,836.57897662 Ether,0.06107336%,23
219,0x755cdba6ae4f479f7164792b318b2a06c759833b,ExtraBalDaoWithdraw,71,232.66243092 Ether,0.06055992%,8,217
220,0xa3e4caa3ce9e73665397af64d3d0858975a6a1d0,,71,192.77243208 Ether,0.06052601%,4
221,0xb3b7f6b3b02dc9f54214194d5836a146fb5893e7,,70,691.71575024 Ether,0.06010003%,2
222,0x6b378be3c9642ccf25b1a27facb8ace24ac34a12,,70,000 Ether,0.05951195%,10
223,0xdca6ab9508d28c0eb7b120b8252041edcb56753f,,70,000 Ether,0.05951195%,5
224,0x062448f804191128d71fc72e10a1d13bd7308e7e,,69,999.98336715 Ether,0.05951194%,35
225,0x16769e533352798deb664ba570230a758346ca1a,,67,800.09292325 Ether,0.05764165%,231
226,0x2c8fbb630289363ac80705a1a61273f76fd5a161,OKEx 4,67,425.85634955 Ether,0.05732349%,245
227,0x1e143b2588705dfea63a17f2032ca123df995ce0,,67,317.25758198 Ether,0.05723116%,20,772
228,0x4920f22b632bfaa40af8d39c31d9607809485952,,67,312.7120218 Ether,0.05722730%,1
229,0x3cceb0d443ca4b1320ae4fa60a053eac163ca512,,67,246.89483973 Ether,0.05717134%,14,799
